start;url;match;href;Bookmakers: 22;Bookmakers: 22;Home;Draw;Away;Home_team;Away_team
1572701211-22770;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Sassuolo-Inter;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/sassuolo-inter/MXyfjhDE/;;;4.38;3.77;1.74;Sassuolo;Inter
1572701512-24678;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;AC Milan-Fiorentina;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/ac-milan-fiorentina/hroA2tpl/;null;null;2.05;3.20;3.40;AC Milan;Fiorentina
1572701580-25108;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Bologna-Lazio;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/bologna-lazio/4tLzOvgr/;;;4.90;3.85;1.69;Bologna;Lazio
1572701569-25059;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Empoli-Genoa;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/empoli-genoa/YLCiKdh7/;;;2.70;3.10;2.88;Empoli;Genoa
1572701411-24033;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Palermo-Crotone;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/palermo-crotone/xzoJZjAp/;;;2.30;3.20;3.40;Palermo;Crotone
1572700882-20613;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Napoli-AS Roma;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/napoli-as-roma/UD983DBb/;;;1.85;3.60;4.33;Napoli;AS Roma
1572700743-19682;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Sampdoria-AC Milan;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/sampdoria-ac-milan/jT3exMf9/;;;3.15;3.15;2.40;Sampdoria;AC Milan
1572701918-27304;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Sassuolo-Cagliari;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/sassuolo-cagliari/lv8GwUoa/;;;1.70;4.20;4.80;Sassuolo;Cagliari
1572701701-25904;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Atalanta-Sassuolo;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/atalanta-sassuolo/f7LQFBy2/;;;1.43;4.65;7.00;Atalanta;Sassuolo
1572701676-25749;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Napoli-Juventus;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/napoli-juventus/pbVWmSC4/;;;2.62;3.20;2.88;Napoli;Juventus
1572701401-23957;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Pescara-Fiorentina;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/pescara-fiorentina/td5yaMen/;;;3.60;3.50;2.05;Pescara;Fiorentina
1572701302-23344;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Udinese-AS Roma;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/udinese-as-roma/IgfbdBML/;;;4.00;3.45;1.85;Udinese;AS Roma
1572700900-20743;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Genoa-Empoli;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/genoa-empoli/fw2ff9Yp/;;;1.83;3.50;4.80;Genoa;Empoli
